,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1
4,5,30,27,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,5,3,1
5,6,29,27,P2 Viper,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,1,4,2,1
6,7,29,27,P1 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,9,4,1
7,8,23,27,P2 Viper,0,0,1,3,0,0,0,4,0,3,2,7,0,1,0,-3,11,7,1
8,9,23,25,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,1,13,4,1
9,10,0,25,P2 Viper,0,0,1,1,0,0,0,7,1,1,2,8,0,1,0,1,15,4,1
10,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
11,2,30,30,P2 Viper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
12,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,2
13,4,27,30,P2 Viper,0,0,1,1,0,0,0,2,1,0,1,3,0,2,0,1,3,1,2
14,5,27,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2
15,6,24,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,5,2,2
16,7,24,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,4,2
17,8,18,30,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,9,4,2
18,9,18,25,P1 Wabeka,0,0,1,3,0,0,0,3,2,2,3,6,0,1,0,1,9,4,2
19,10,12,25,P2 Viper,0,0,1,3,0,0,0,2,0,3,0,5,0,2,0,0,14,5,2
20,11,12,21,P1 Wabeka,0,0,1,2,0,0,0,3,0,2,1,5,0,1,0,0,15,6,2
21,12,4,21,P2 Viper,0,0,1,2,0,0,0,3,0,1,3,5,0,3,0,1,19,5,2
22,13,4,14,P1 Wabeka,0,0,1,1,0,0,0,3,1,1,1,4,0,1,0,2,20,5,2
23,14,0,14,P2 Viper,0,0,1,0,0,0,0,2,0,0,0,2,0,3,0,7,19,0,2
24,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
25,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
26,3,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
27,4,26,28,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,3
28,5,26,24,P1 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,3,3,0,3
29,6,22,24,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,6,3,3
30,7,20,17,P1 Wabeka,0,0,2,2,0,0,0,2,1,1,1,4,0,1,1,0,7,4,3
31,8,1,17,P2 Viper,0,0,1,2,0,0,0,5,1,1,1,7,0,2,0,0,10,4,3
32,9,8,2,P1 Wabeka,7,0,1,1,0,0,0,3,0,1,0,4,0,1,1,0,12,5,3
33,10,3,2,P2 Viper,0,0,1,1,0,0,0,5,2,1,3,6,0,2,0,1,14,4,3
34,11,3,1,P1 Wabeka,0,0,1,2,0,0,0,2,2,2,3,4,0,1,1,0,18,6,3
35,12,0,1,P2 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,14,0,3
36,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
37,2,30,30,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
38,3,30,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,4
39,4,30,27,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
40,5,30,21,P1 Wabeka,0,0,4,3,0,0,0,2,1,1,1,5,0,2,0,0,5,3,4
41,6,30,21,P2 Viper,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,4,3,4
42,7,30,17,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,9,4,4
43,8,30,17,P2 Viper,0,0,1,2,0,0,0,4,4,2,5,6,0,2,0,0,8,4,4
44,9,30,7,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,14,5,4
45,10,12,7,P2 Viper,0,0,1,3,0,0,0,2,0,3,0,5,0,2,0,2,11,3,4
46,11,12,-1,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,14,0,4
47,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
48,2,30,30,P2 Viper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,5
49,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
50,4,26,30,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,4,2,5
51,5,26,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,4,2,5
52,6,20,28,P2 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,1,6,2,5
53,7,20,24,P1 Wabeka,0,0,1,1,0,0,0,2,1,0,1,3,0,1,0,3,5,1,5
54,8,7,24,P2 Viper,0,0,1,3,0,0,0,4,0,3,2,7,0,1,0,-2,12,6,5
55,9,7,19,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,10,5,5
56,10,-1,19,P2 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,5,12,0,5
57,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
58,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
59,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
60,4,29,30,P2 Viper,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,6
61,5,29,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,6
62,6,25,30,P2 Viper,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,0,7,3,6
63,7,25,27,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,2,5,2,6
64,8,19,27,P2 Viper,0,0,1,1,0,0,0,2,0,0,0,3,0,3,0,0,11,4,6
65,9,19,23,P1 Wabeka,0,0,1,2,0,0,0,1,1,0,1,3,0,3,0,0,10,5,6
66,10,3,23,P2 Viper,0,0,1,1,0,0,0,6,0,1,0,7,0,3,0,2,14,3,6
67,11,6,13,P1 Wabeka,3,0,1,1,0,0,0,5,0,1,1,6,0,3,0,1,15,5,6
68,12,-1,13,P2 Viper,0,0,1,0,0,0,0,4,1,0,2,4,0,3,0,6,14,0,6
69,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
70,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,7
71,3,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,7
72,4,26,28,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,7
73,5,26,21,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,7
74,6,21,21,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,5,2,7
75,7,21,12,P1 Wabeka,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,0,10,4,7
76,8,9,12,P2 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,9,4,7
77,9,9,12,P1 Wabeka,0,0,1,2,0,0,0,2,2,2,4,4,0,1,0,0,15,5,7
78,10,4,12,P2 Viper,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,1,13,4,7
79,11,4,5,P1 Wabeka,0,0,1,1,0,0,0,5,0,0,0,6,0,2,0,2,19,4,7
80,12,0,5,P2 Viper,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,6,13,0,7
81,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
82,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,8
83,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,8
84,4,30,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,8
85,5,30,29,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,8
86,6,24,29,P2 Viper,0,0,4,3,0,0,0,2,0,2,1,5,0,2,0,0,7,3,8
87,7,24,29,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,4,8
88,8,16,29,P2 Viper,0,0,1,3,0,0,0,4,0,3,1,7,0,2,0,-1,12,5,8
89,9,19,26,P1 Wabeka,3,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,10,5,8
90,10,12,24,P2 Viper,0,0,1,1,0,0,0,6,2,1,3,7,0,2,0,2,15,3,8
91,11,12,19,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,15,5,8
92,12,0,19,P2 Viper,0,0,1,0,0,0,0,3,0,0,0,3,0,2,0,6,15,0,8
93,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,9
94,2,30,30,P2 Viper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,9
95,3,30,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,9
96,4,28,28,P2 Viper,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,2,2,0,9
97,5,28,24,P1 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,3,3,0,9
98,6,26,24,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,5,3,9
99,7,26,20,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,7,4,9
100,8,18,20,P2 Viper,0,0,1,2,0,0,0,5,0,2,0,7,0,1,0,0,9,4,9
101,9,18,4,P1 Wabeka,0,0,1,1,0,0,0,4,1,1,2,5,0,0,0,0,12,5,9
102,10,12,4,P2 Viper,0,0,1,1,0,0,0,6,0,1,0,7,0,1,0,3,11,2,9
103,11,12,0,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,6,12,0,9
104,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,10
105,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,10
106,3,30,30,P1 Wabeka,0,0,1,2,0,0,0,1,0,2,1,3,0,0,0,0,3,2,10
107,4,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,10
108,5,30,27,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,1,5,2,10
109,6,30,27,P2 Viper,0,0,1,2,0,0,0,1,0,0,2,3,0,2,0,0,7,3,10
110,7,30,24,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,3,3,0,0,0,0,9,4,10
111,8,28,24,P2 Viper,0,0,1,2,0,0,0,2,1,2,2,4,0,2,0,0,11,4,10
112,9,26,16,P1 Wabeka,0,0,2,2,0,0,0,3,1,2,3,5,0,0,1,0,14,5,10
113,10,25,16,P2 Viper,0,0,1,2,0,0,0,1,1,0,1,3,0,4,0,0,16,5,10
114,11,25,1,P1 Wabeka,0,0,1,1,0,0,0,5,0,1,0,6,0,0,1,1,19,5,10
115,12,18,1,P2 Viper,0,0,1,2,0,0,0,4,0,2,0,6,0,4,0,2,20,4,10
116,13,18,0,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,5,21,2,10
117,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
118,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,11
119,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,11
120,4,27,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,11
121,5,27,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,4,3,11
122,6,21,29,P2 Viper,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,7,3,11
123,7,21,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,8,4,11
124,8,10,27,P2 Viper,0,0,1,2,0,0,0,4,0,2,2,6,0,1,0,0,11,4,11
125,9,15,20,P1 Wabeka,5,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,13,5,11
126,10,8,18,P2 Viper,0,0,2,1,0,0,0,6,0,1,1,7,0,1,1,2,14,3,11
127,11,8,9,P1 Wabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,1,18,5,11
128,12,0,9,P2 Viper,0,0,1,0,0,0,0,3,0,0,0,3,0,1,1,6,14,0,11
129,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
130,2,30,30,P2 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12
131,3,30,30,P1 Wabeka,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,12
132,4,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,12
133,5,30,28,P1 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,5,3,12
134,6,27,28,P2 Viper,0,0,1,2,0,0,0,3,2,2,3,5,0,1,0,0,6,3,12
135,7,27,23,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,2,7,2,12
136,8,7,23,P2 Viper,0,0,1,2,0,0,0,5,1,1,1,7,0,2,0,1,9,3,12
137,9,7,12,P1 Wabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,0,12,5,12
138,10,-2,12,P2 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,5,9,0,12
139,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
140,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,13
141,3,30,30,P1 Wabeka,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,13
142,4,30,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,4,2,13
143,5,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,13
144,6,22,30,P2 Viper,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,1,6,2,13
145,7,22,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,9,4,13
146,8,12,28,P2 Viper,0,0,1,3,0,0,0,4,0,3,2,7,0,1,0,0,10,4,13
147,9,12,19,P1 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,0,14,5,13
148,10,-1,19,P2 Viper,0,0,1,0,0,0,0,3,0,0,0,3,0,1,0,5,10,0,13
149,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,14
150,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,14
151,3,30,29,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,14
152,4,29,29,P2 Viper,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,14
153,5,29,28,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,14
154,6,18,28,P2 Viper,0,0,1,2,0,0,0,4,1,1,1,6,0,2,0,0,7,3,14
155,7,18,26,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,4,14
156,8,3,26,P2 Viper,0,0,1,1,0,0,0,4,1,0,1,5,0,3,0,3,8,1,14
157,9,10,12,P1 Wabeka,7,0,1,1,0,0,0,4,2,1,2,5,0,0,0,0,10,5,14
158,10,10,12,P2 Viper,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,1,12,4,14
159,11,17,2,P1 Wabeka,7,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,16,6,14
160,12,17,2,P2 Viper,0,0,1,0,0,0,0,1,0,0,1,1,0,4,0,6,12,0,14
161,13,17,-2,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7,16,0,14
162,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
163,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,15
164,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,15
165,4,29,30,P2 Viper,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,15
166,5,29,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,4,2,15
167,6,24,28,P2 Viper,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,0,7,3,15
168,7,24,25,P1 Wabeka,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,0,8,4,15
169,8,15,25,P2 Viper,0,0,4,2,0,0,0,7,1,0,1,9,0,3,0,2,9,2,15
170,9,19,11,P1 Wabeka,4,0,1,1,0,0,0,7,0,1,1,8,0,1,0,0,13,5,15
171,10,14,11,P2 Viper,0,0,1,2,0,0,0,5,1,1,2,7,0,4,0,1,13,4,15
172,11,14,-1,P1 Wabeka,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,5,14,1,15
173,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16
174,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,16
175,3,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16
176,4,28,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,16
177,5,28,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,16
178,6,21,30,P2 Viper,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,7,3,16
179,7,21,28,P1 Wabeka,0,0,4,3,0,0,0,1,1,1,1,4,0,2,0,0,7,4,16
180,8,5,28,P2 Viper,0,0,4,2,0,0,0,4,0,1,1,6,0,2,0,0,11,4,16
181,9,9,21,P1 Wabeka,4,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,12,5,16
182,10,0,18,P2 Viper,0,0,1,2,0,0,0,6,2,2,4,8,0,2,0,2,14,3,16
183,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
184,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,17
185,3,30,30,P1 Wabeka,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,17
186,4,30,30,P2 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,4,2,17
187,5,30,28,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,2,0,17
188,6,27,28,P2 Viper,0,0,1,1,0,0,0,2,1,1,2,3,0,2,0,0,7,3,17
189,7,27,28,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,17
190,8,22,28,P2 Viper,0,0,4,2,0,0,0,2,0,1,0,4,0,3,0,2,9,2,17
191,9,25,28,P1 Wabeka,3,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,7,5,17
192,10,21,28,P2 Viper,0,0,1,1,0,0,0,3,1,1,2,4,0,3,0,4,10,1,17
193,11,21,28,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,12,5,17
194,12,15,28,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,2,14,4,17
195,13,15,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,17,5,17
196,14,6,28,P2 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,3,0,2,19,5,17
197,15,6,28,P1 Wabeka,0,0,1,3,0,0,0,2,1,2,3,5,0,2,0,0,25,8,17
198,16,-3,28,P2 Viper,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,8,19,0,17
199,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,18
200,2,30,30,P2 Viper,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,18
201,3,30,29,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,18
202,4,28,29,P2 Viper,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,2,2,0,18
203,5,28,28,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,4,3,18
204,6,26,28,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,5,3,18
205,7,26,23,P1 Wabeka,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,0,8,4,18
206,8,16,23,P2 Viper,0,0,4,3,0,0,0,5,1,1,1,8,0,3,0,0,9,4,18
207,9,22,13,P1 Wabeka,6,0,1,1,0,0,0,3,0,1,0,4,0,0,0,0,13,5,18
208,10,22,13,P2 Viper,0,0,1,2,0,0,0,5,2,2,2,7,0,3,0,0,14,5,18
209,11,28,3,P1 Wabeka,6,0,1,2,0,0,0,3,0,2,0,5,0,0,0,0,19,6,18
210,12,22,3,P2 Viper,0,0,1,2,0,0,0,5,2,2,3,7,0,3,0,1,19,5,18
211,13,22,-1,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7,19,0,18
212,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19
213,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,19
214,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,19
215,4,29,30,P2 Viper,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,19
216,5,29,30,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,2,3,1,19
217,6,25,30,P2 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,2,5,1,19
218,7,25,25,P1 Wabeka,0,0,1,1,0,0,0,2,0,0,2,3,0,1,0,0,7,4,19
219,8,20,25,P2 Viper,0,0,4,4,0,0,0,2,0,3,0,6,0,2,0,0,9,4,19
220,9,20,18,P1 Wabeka,0,0,1,1,0,0,0,6,0,1,0,7,0,1,0,0,12,5,19
221,10,-1,18,P2 Viper,0,0,1,0,0,0,0,4,0,0,0,4,0,2,0,5,9,0,19
222,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,20
223,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,20
224,3,30,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,20
225,4,29,27,P2 Viper,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,4,2,20
226,5,29,25,P1 Wabeka,0,0,4,3,0,0,0,1,1,1,1,4,0,2,0,0,5,3,20
227,6,22,25,P2 Viper,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,7,3,20
228,7,22,20,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,1,8,3,20
229,8,14,20,P2 Viper,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,0,11,4,20
230,9,14,10,P1 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,13,5,20
231,10,0,10,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,3,13,2,20
232,1,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,21
233,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,21
234,3,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,21
235,4,30,29,P2 Viper,0,0,1,2,0,0,0,1,0,2,2,3,0,1,0,0,4,2,21
236,5,30,29,P1 Wabeka,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,2,3,1,21
237,6,26,29,P2 Viper,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,7,3,21
238,7,26,27,P1 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,5,2,21
239,8,20,27,P2 Viper,0,0,1,2,0,0,0,4,1,2,3,6,0,1,0,1,10,3,21
240,9,20,27,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,10,5,21
241,10,13,27,P2 Viper,0,0,1,2,0,0,0,4,0,2,0,6,0,1,0,0,15,5,21
242,11,13,19,P1 Wabeka,0,0,4,3,0,0,0,1,1,1,1,4,0,2,0,0,16,6,21
243,12,-1,19,P2 Viper,0,0,1,0,0,0,0,4,1,0,1,4,0,1,0,6,15,0,21
244,1,30,30,P1 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22
245,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,22
246,3,30,30,P1 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,22
247,4,27,30,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,22
248,5,27,28,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,22
249,6,23,28,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,7,3,22
250,7,23,26,P1 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,2,0,22
