,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME
1,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0
2,2,30,30,P2 Viper,0,0,1,2,0,0,0,0,0,1.0,0.0,2.0,0.0,1.0,
3,3,30,29,P1 Roffle,0,0,1,1,0,0,0,1,0,1.0,0.0,2.0,0.0,0.0,
4,4,28,29,P2 Viper,0,0,1,1,0,0,0,1,0,1.0,0.0,2.0,0.0,1.0,
5,5,28,26,P1 Roffle,0,0,1,2,0,0,0,2,0,2.0,1.0,4.0,,,
6,6,26,26,P2 Viper,0,0,1,1,0,0,0,1,0,1.0,0.0,2.0,0.0,1.0,
7,7,26,19,P1 Roffle,0,0,1,2,0,0,0,4,0,2.0,,,,,
8,8,21,19,P2 Viper,0,0,1,1,0,0,0,2,0,1.0,0.0,3.0,0.0,,
9,9,21,11,P1 Roffle,0,0,1,2,0,0,0,5,1,,,,,,
10,10,19,11,P2 Viper,0,0,1,2,0,0,0,1,0,2.0,0.0,3.0,0.0,,
