,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN
1,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
2,2,30,26,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1
3,3,30,26,P1 Roffle,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2
4,4,28,26,P2 Viper,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2
5,5,28,22,P1 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,6,3
6,6,25,22,P2 Viper,0,0,1,2,0,0,0,1,0,1,0,3,0,2,0,0,7,3
7,7,25,18,P1 Roffle,0,0,1,1,0,0,0,4,1,1,2,5,0,1,0,3,7,1
8,8,22,18,P2 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,2,9,2
9,9,22,11,P1 Roffle,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,4,8,1
10,10,15,11,P2 Viper,0,0,1,3,0,0,0,2,1,1,1,5,0,4,0,0,14,5
